2017/08/30 15:02:34 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Loading user properties from: /Users/purnima/Perceptron/Performance_tests/apache-jmeter-3.1/bin/user.properties 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Loading system properties from: /Users/purnima/Perceptron/Performance_tests/apache-jmeter-3.1/bin/system.properties 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: java.version=1.8.0_111 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: os.name=Mac OS X 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: os.arch=x86_64 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: os.version=10.12 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Max memory     =514850816 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Available Processors =4 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: JMeterHome=/Users/purnima/Perceptron/Performance_tests/apache-jmeter-3.1 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: user.dir  =/Users/purnima/Repositories 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: PWD       =/Users/purnima/Repositories 
2017/08/30 15:02:35 INFO  - jmeter.JMeter: IP: 172.23.214.166 Name: kabali.in.niit.com FullName: kabali.in.niit.com 
2017/08/30 15:02:38 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2017/08/30 15:02:38 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/08/30 15:02:45 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/08/30 15:02:45 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/08/30 15:02:46 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
2017/08/30 15:02:48 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.extractor.BSFPostProcessor 
