identifier,rel:synonym,rel:hasAntonym,rel:hasHyponym,rel:hasMeronym,rel:hasHolonym,rel:hasHypernym,gloss,exampleSentences,pos,objectType
hi:S:00006062,"hi:W:000060620,hi:W:000060622,",,,,,, जो थल पर निवास करता हो,"मनुष्य थलवासी प्राणी है ।",Adjective,Synset
hi:S:00006063,"hi:W:000060630,hi:W:000060631,",,,,,hi:S:00000165, साले की पत्नी,"मेरी बड़ी सलहज एक साध्वी महिला हैं ।",Noun,Synset
hi:S:00006064,"hi:W:000060640,hi:W:000060641,hi:W:000060642,hi:W:000060643,hi:W:000060644,",,,,,hi:S:00003051, इकठ्ठा या जमा किया हुआ धन,"उसकी सारी जमापूँजी नष्ट हो गई ।",Noun,Synset
hi:S:00006065,"hi:W:000060650,",,,,,hi:S:00003051, कठिन समय पर काम आने के लिए बचाकर रखा हुआ धन,"भविष्य के लिए संचित निधि अवश्य रखना चाहिए ।",Noun,Synset
hi:S:00006066,"hi:W:000060660,hi:W:000060661,",,,,,hi:S:00003345, कुछ निश्चित लम्बाई के कपड़े,गोटे आदि का पूरा टुकड़ा,"दुकानदार ने थान से चार मीटर कपड़ा काट कर अलग किया ।",Noun,Synset
hi:S:00006067,"",,,,,hi:S:00001494, पालतू चौपायों के बाँधे जाने का स्थान,"पशु थान पर बैठकर जुगाली कर रहे हैं ।",Noun,Synset
hi:S:00006068,"hi:W:000060680,hi:W:000060681,hi:W:000060682,hi:W:000060683,hi:W:000060684,hi:W:000060685,",,hi:S:00033367,,,hi:S:00003475, भोजन करने का एक छिछला बर्तन,"माँ बच्चे को थाली में खाना खिला रही है ।",Noun,Synset
hi:S:00006069,"hi:W:000060690,hi:W:000060691,hi:W:000060692,",,hi:S:00006070,,,hi:S:00001644, वह गाढ़ा, लसीला सफ़ेद रस जो मुँह से निकलता है,"उसके मुहँ से थूक के साथ खून भी आ रहा है ।",Noun,Synset
hi:S:00006070,"hi:W:000060700,hi:W:000060702,",,,,,hi:S:00006069, खाए हुए पान आदि के रस की थूक,"दादाजी के कुर्ते पर जगह-जगह पीक के निशान हैं ।",Noun,Synset
hi:S:00006071,"hi:W:000060710,",,,,,, गीली वस्तु का पिंड ऊपर से डाल,रख या जमा देना,"किसान अपने कच्चे घर की दीवाल पर मिट्टी थोप रहा है ।",Verb,Synset
hi:S:00006072,"hi:W:000060720,",,,,,hi:S:00004421, बराबर के पहलवानों की वह कुश्ती जो जोड़ बदलकर लड़ी जाए और जिसमें जीतनेवाले को कुछ इनाम मिले,"इस मेले में दंगल का आयोजन भी किया गया है ।",Noun,Synset
hi:S:00006073,"hi:W:000060732,",,hi:S:00034093,,,hi:S:00005939, एक प्रकार का व्यायाम जो पंजों के बल औंधे लेटकर किया जाता है,"वह प्रतिदिन सुबह दौड़कर आने के बाद डंड करता है ।",Noun,Synset
hi:S:00006074,"hi:W:000060740,hi:W:000060741,hi:W:000060742,hi:W:000060743,hi:W:000060744,hi:W:000060745,hi:W:000060746,hi:W:000060747,hi:W:000060748,",,,,,hi:S:00003345, डंडे की तरह की वह चीज़ जिस पर ध्वजा लहराती है,"मेरे ग्रामीण विद्यालय में झंडा फहराने के लिए बाँस के ध्वजदंड का उपयोग होता है ।",Noun,Synset
hi:S:00006075,"hi:W:000060750,hi:W:000060751,",,hi:S:00019449,,,hi:S:00004589, बड़ी नावों के बीच का वह लट्ठा जिसमें पाल बाँधते हैं ,"तेज़ हवा के कारण नाव का कमज़ोर मस्तूल टूट गया ।",Noun,Synset
hi:S:00006076,"hi:W:000060760,hi:W:000060761,hi:W:000060762,",,,,,hi:S:00004226, राज्य या राजा की आज्ञा से दी जानेवाली सजा,"राजा के साथ विश्वासघात करने के कारण सेनापति को राजदंड मिला ।",Noun,Synset
hi:S:00006077,"hi:W:000060770,hi:W:000060771,hi:W:000060772,hi:W:000060774,hi:W:000060775,hi:W:000060777,hi:W:000060778,",,,,,hi:S:00007547, एक प्रकार का सुगंधित गोंद जो जलाने और दवा के काम में आता है,"लोबान का प्रयोग दवा के रूप में भी होता है ।",Noun,Synset
hi:S:00006078,"hi:W:000060780,hi:W:000060781,hi:W:000060784,hi:W:000060785,hi:W:000060786,hi:W:000060787,hi:W:000060789,",,,,,hi:S:00003051, किसी का हर्ज या हानि होने पर उसके बदले में दिया जाने वाला धन,"रेल दुर्घटना में मृत लोगों के परिवार वालों को अभी तक हरजाना नहीं मिला है ।",Noun,Synset
hi:S:00006079,"hi:W:000060790,hi:W:000060791,",,,,,, जो दंडित होने के योग्य हो या जिसे दंड देना उचित हो,"दंडनीय व्यक्ति को दंड मिलना ही चाहिए ।",Adjective,Synset
hi:S:00006080,"",,,,,, जिसके लिए किसी को दंड दिया जाना उचित हो या दिया जा सकता हो,"चोरी करना एक दंडनीय अपराध है ।",Adjective,Synset
hi:S:00006081,"hi:W:000060810,hi:W:000060811,hi:W:000060812,hi:W:000060813,hi:W:000060814,",,,,,, रूढ़िवाद को माननेवाला,"शहर की अपेक्षा गाँव के लोग अधिक रूढ़िवादी होते हैं ।",Adjective,Synset
hi:S:00006082,"hi:W:000060820,hi:W:000060821,",,,,,hi:S:00000196, रामायण की कथा कहनेवाला व्यक्ति,"मेरे दादाजी एक कुशल रामायणी हैं ।",Noun,Synset
hi:S:00006083,"hi:W:000060830,",,,,,hi:S:00003388, विशेषज्ञ होने की अवस्था या भाव,"वनस्पति विज्ञान में राम की विशेषज्ञता सबको प्रभावित करती है ।",Noun,Synset
hi:S:00006084,"hi:W:000060840,hi:W:000060841,hi:W:000060842,hi:W:000060843,hi:W:000060844,hi:W:000060845,hi:W:000060847,hi:W:000060848,",,,,,hi:S:00003606, उत्तर के सामने की दिशा,"मेरा घर यहाँ से दक्षिण में है ।",Noun,Synset
hi:S:00006085,"",,,,,hi:S:00002022, दक्षिण दिशा में पड़नेवाला प्रदेश,"सुरेश दक्षिण का रहनेवाला है ।",Noun,Synset
hi:S:00006086,"hi:W:000060861,",,hi:S:00023170,,,hi:S:00003060, वह दान जो ब्राह्मणों आदि को शुभकार्य के समय दिया जाता है,"कथा समाप्ति के बाद राम ने पंडितजी को एक सौ एक रुपये दक्षिणा दी ।",Noun,Synset
hi:S:00006087,"hi:W:000060870,hi:W:000060871,hi:W:000060872,hi:W:000060873,hi:W:000060874,hi:W:000060875,",,,,,hi:S:00005841, वह धन, वस्त्र और गहने आदि जो विवाह के समय कन्या पक्ष से वर पक्ष को मिलते हैं,"उसने अपनी लड़की की शादी में लाखों रुपये दहेज दिए ।",Noun,Synset
hi:S:00006088,"",,,,,, दनदन शब्द के साथ तेज़ी से और लगातार,"आतंकवादी दनादन गोलियाँ चलाने लगा ।",Adverb,Synset
hi:S:00006089,"hi:W:000060890,hi:W:000060891,hi:W:000060892,hi:W:000060893,hi:W:000060894,",,,,,hi:S:00004168, वह यंत्र जिसकी सहायता से पानी डालकर लगी हुई आग बुझाई जाती है,"दमकलकर्मी दमकल से आग बुझा रहे हैं ।",Noun,Synset
hi:S:00006090,"hi:W:000060900,hi:W:000060901,hi:W:000060902,hi:W:000060903,hi:W:000060904,hi:W:000060906,hi:W:000060907,",,hi:S:00006051,,,hi:S:00000165, पुत्री का पति,"राम का दामाद सेना में अधिकारी है ।",Noun,Synset
hi:S:00006091,"hi:W:000060910,hi:W:000060911,",,,,,, जिसका बहुत अधिक प्रताप हो,"रावण एक प्रतापी राजा था ।",Adjective,Synset
hi:S:00006092,"hi:W:000060920,",,,,,hi:S:00000392, पुराने समय का शहनाई की तरह का एक बाजा,"वह नसतरंग बजाने में निपुण है ।",Noun,Synset
hi:S:00006093,"hi:W:000060930,hi:W:000060931,",,,,,, भय,संकोच,लज्जा आदि के कारण छिपना,"चोरी करने के बाद श्याम घर में दुबक गया ।",Verb,Synset
hi:S:00006094,"hi:W:000060940,hi:W:000060941,",,,,,, कहीं जाकर वहाँ से पहले वाले स्थान पर आना या पहले वाले काम आदि पर आना,"पिताजी कल ही दिल्ली से लौटे ।",Verb,Synset
hi:S:00006095,"",,,,,, किसी बात या कार्य का जहाँ-का-तहाँ रह जाना और उस पर कोई कार्रवाई न होना,"अधिकतर श्वेतपोश अपराधियों के मामले दब जाते हैं ।",Verb,Synset
hi:S:00006096,"hi:W:000060961,hi:W:000060962,",,,,,, भारी चीज़ के नीचे आना या होना,"पत्थर से बच्चे का हाथ दब गया है ।",Verb,Synset
hi:S:00006097,"hi:W:000060970,hi:W:000060973,hi:W:000060974,hi:W:000060975,hi:W:000060976,hi:W:000060977,",,,,,hi:S:00003514, नशे आदि के लिए मुँह से धुआँ खींचने की क्रिया,"सोहन सिगरेट का कश ले रहा है ।",Noun,Synset
hi:S:00006098,"hi:W:000060980,hi:W:000060981,hi:W:000060982,hi:W:000060983,hi:W:000060984,hi:W:000060985,hi:W:000060986,hi:W:000060987,",,hi:S:00000513,,,hi:S:00012149, नाक या मुँह से साँस लेने और छोड़ने की क्रिया,"श्वासोच्छवास सजीव प्राणियों का लक्षण है ।",Noun,Synset
hi:S:00006099,"hi:W:000060990,",,,,,hi:S:00000878, उतना समय जितना एक बार आँख झपकने में लगता है,"पल भर के लिए आराम करके आगे बढ़ा जाए ।",Noun,Synset
hi:S:00006100,"",,,,,hi:S:00000183, किसी बर्तन में कोई चीज रखकर और उसका मुँह बंद करके उसे आग पर पकाने की क्रिया,"यह सब्जी दम देकर बनाई गयी है ।",Noun,Synset
hi:S:00006101,"hi:W:000061010,hi:W:000061011,hi:W:000061012,hi:W:000061013,hi:W:000061014,hi:W:000061015,hi:W:000061016,hi:W:000061017,",,hi:S:00004349,,,hi:S:00000196, परामर्श या सलाह देनेवाला व्यक्ति,"वह अपनी समस्याओं से निपटने के लिए एक कुशल सलाहकार से विचार-विमर्श कर रहा है ।",Noun,Synset
hi:S:00006102,"hi:W:000061020,hi:W:000061021,",,,,,hi:S:00001957, ताश के खेल में वे पत्ते जो उस खास समय में अन्य पत्तों से अधिक महत्व रखते हैं,"उसने खेल जीतने के लिए तुरुप की चाल चली ।",Noun,Synset
hi:S:00006103,"hi:W:000061031,hi:W:000061032,hi:W:000061033,hi:W:000061034,hi:W:000061035,hi:W:000061036,",,hi:S:00001965,,,hi:S:00000878, किसी एक नियत समय से दूसरे नियत समय तक के बीच का काल,"हमें चार घंटे की अवधि में यह काम पूरा करना है ।",Noun,Synset
hi:S:00006104,"hi:W:000061040,hi:W:000061041,",,,,,hi:S:00000183, विरोध, उपद्रव, विद्रोह आदि को बल-प्रयोग द्वारा दबाने की क्रिया,"अंग्रेजों ने बार-बार परतंत्र भारतीयों के विरोधों का दमन किया ।",Noun,Synset
hi:S:00006105,"hi:W:000061051,",,,,,hi:S:00005714, भारत के केन्द्रशासित प्रदेश दमन और दीव की राजधानी,"दमन एक द्वीप है जो अरब सागर द्वारा घिरा हुआ है ।",Noun,Synset
