identifier,objectType,Lemma
hi:W:000219760,Word,शिरीषी
hi:W:000219770,Word,शार्दूलकर्ण
hi:W:000219800,Word,शालवदन
hi:W:000219810,Word,शालावती
hi:W:000219820,Word,श्येनगामी
hi:W:000219830,Word,श्रीभानु
hi:W:000219831,Word,श्रीभान
hi:W:000219840,Word,श्रीसमाध
hi:W:000219841,Word,श्रीसमाध_राग
hi:W:000219850,Word,श्रीवल्ली
hi:W:000219880,Word,जैसे-तैसे
hi:W:000219881,Word,ज्यों-त्यों
hi:W:000219890,Word,जैसे-जैसे
hi:W:000219891,Word,ज्यों-ज्यों
hi:W:000219892,Word,जैसे_जैसे
hi:W:000219893,Word,ज्यों_ज्यों
hi:W:000219910,Word,जैसे_हो
hi:W:000219911,Word,जैसे_भी_हो
hi:W:000219920,Word,अपसिद्धांत
hi:W:000219950,Word,मृतकस्नान
hi:W:000219951,Word,अपस्नान
hi:W:000219952,Word,अपस्नात
hi:W:000219970,Word,तिलांजलि
hi:W:000219971,Word,तिलाञ्जलि
hi:W:000219990,Word,अपस्मारी
hi:W:000220010,Word,बाज़ीगरी
hi:W:000220011,Word,बाजीगरी
hi:W:000220020,Word,शिलायूप
hi:W:000220030,Word,वक्रताल
hi:W:000220050,Word,वक्षोग्रीव
hi:W:000220070,Word,षंडामर्क
hi:W:000220071,Word,षण्डामर्क
hi:W:000220081,Word,अपहतपाप्मा
hi:W:000220090,Word,सपत्नजित्
hi:W:000220100,Word,तुष्टीकरण
hi:W:000220101,Word,अपतुष्टि
hi:W:000220110,Word,शत्रुजित्
hi:W:000220120,Word,शतानीक
hi:W:000220160,Word,अपहरण-कर्त्ता
hi:W:000220161,Word,अपहरण-कर्ता
hi:W:000220162,Word,अपहरणकर्त्ता
hi:W:000220163,Word,अपहरणकर्ता
hi:W:000220164,Word,अपहरण_कर्त्ता
hi:W:000220165,Word,अपहरण_कर्ता
hi:W:000220180,Word,शल
hi:W:000220190,Word,हरणीय
hi:W:000220192,Word,आहरणीय
hi:W:000220193,Word,अपहार्य
hi:W:000220200,Word,शरु
hi:W:000220210,Word,शशिध्वज
hi:W:000220240,Word,षडश्व
hi:W:000220250,Word,क्षय_करना
hi:W:000220260,Word,सखर
hi:W:000220270,Word,सतानन्द
hi:W:000220271,Word,सतानंद
hi:W:000220280,Word,सत्यकेतु
hi:W:000220290,Word,सन्नादन
hi:W:000220291,Word,संनादन
hi:W:000220311,Word,लूटा
hi:W:000220322,Word,चुराया
hi:W:000220331,Word,छीना
hi:W:000220334,Word,आहृत
hi:W:000220340,Word,मथुरिया
hi:W:000220350,Word,मथौरा
hi:W:000220360,Word,मथनीय
hi:W:000220361,Word,मथ्य
hi:W:000220362,Word,आवर्तनीय
hi:W:000220363,Word,आवर्त्तनीय
hi:W:000220380,Word,पत्रपाश्या
hi:W:000220400,Word,पत्राली
hi:W:000220401,Word,पैड
hi:W:000220430,Word,उपहासास्पद
hi:W:000220431,Word,उपहास्य
hi:W:000220434,Word,अवहास्य
hi:W:000220435,Word,अपहास्य
hi:W:000220460,Word,अपह्नुवान
hi:W:000220490,Word,अस्ताचल
hi:W:000220491,Word,पश्चिमाचल
hi:W:000220500,Word,दंष्ट्राल
hi:W:000220510,Word,दढ़ियल
hi:W:000220511,Word,दाढ़ीवाला
hi:W:000220560,Word,क्षमा_कराना
hi:W:000220561,Word,बख़्शाना
hi:W:000220562,Word,बख्शाना
hi:W:000220563,Word,माफ़_कराना
hi:W:000220564,Word,माफ_कराना
hi:W:000220565,Word,क्षमा_करवाना
hi:W:000220566,Word,माफ़_करवाना
hi:W:000220567,Word,माफ_करवाना
hi:W:000220570,Word,हीरोगिरी
hi:W:000220580,Word,संघाटी
hi:W:000220590,Word,संततिहोम
hi:W:000220591,Word,सन्ततिहोम
hi:W:000220600,Word,अपांवत्स
hi:W:000220620,Word,समुन्नद
hi:W:000220650,Word,अपाकृत
hi:W:000220651,Word,हटाया_हुआ
hi:W:000220660,Word,अंधक_मुनि
hi:W:000220661,Word,अन्धक_मुनि
hi:W:000220662,Word,अंधकमुनि
hi:W:000220663,Word,अन्धकमुनि
hi:W:000220710,Word,समुद्रफल
hi:W:000220711,Word,समुद्र-फल
hi:W:000220712,Word,समुद्र_फल
hi:W:000220713,Word,समुंदरफल
hi:W:000220714,Word,समुंदर-फल
hi:W:000220715,Word,समुंदर_फल
hi:W:000220716,Word,समुन्दरफल
hi:W:000220717,Word,समुन्दर-फल
hi:W:000220718,Word,समुन्दर_फल
hi:W:0002207111,Word,इंजर
hi:W:0002207112,Word,इञ्जर
hi:W:000220750,Word,बिरंजी
hi:W:000220780,Word,अपात्रदायी
hi:W:000220790,Word,हावर
hi:W:000220800,Word,अपात्रीकरण
hi:W:000220810,Word,हिंडीबादाम
hi:W:000220811,Word,हिन्डीबादाम
hi:W:000220820,Word,हिंजीर
hi:W:000220831,Word,रूपित
hi:W:000220840,Word,पैंतरेबाज
hi:W:000220841,Word,पैतरबाज
hi:W:000220842,Word,पैंतरेबाज़
hi:W:000220843,Word,पैतरबाज़
