Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Constant Modifier,additional_complexity
0905,అ,0,0,0,0,0,0,0,0
0906,ఆ,0,0,0,0,0,0,0,0
0907,ఇ,0,0,0,0,0,0,0,0
0908,ఈ,0,0,0,0,0,0,0,0
0909,ఉ,0,0,0,0,0,0,0,0
090A,ఊ,0,0,0,0,0,0,0,0
090B,ఋ,0,0,0,0,0,0,0,0
0960,ౠ,0,0,0,0,0,0,0,0
090E,ఎ,0,0,0,0,0,0,0,0
090F,ఏ,0,0,0,0,0,0,0,0
0910,ఐ,0,0,0,0,0,0,0,0
0912,ఒ,0,0,0,0,0,0,0,0
0913,ఓ,0,0,0,0,0,0,0,0
0914,ఔ,0,0,0,0,0,0,0,0
0915,క,0,0,0,0,0,0,0,0
0916,ఖ,0,0,0,0,0,0,0,0
0917,గ,0,0,0,0,0,0,0,0
0918,ఘ,0,0,0,0,0,0,0,0
0919,ఙ,0,0,0,0,0,0,0,0
091A,చ,0,0,0,0,0,0,0,0
091B,ఛ,0,0,0,0,0,0,0,0
091C,జ,0,0,0,0,0,0,0,0
091D,ఝ,0,0,0,0,0,0,0,0
091E,ఞ,0,0,0,0,0,0,0,0
091F,ట,0,0,0,0,0,0,0,0
0920,ఠ,0,0,0,0,1,0,0,0
0921,డ,0,0,0,0,0,0,0,0
0922,ఢ,0,0,0,0,0,0,0,0
0923,ణ,0,0,0,0,0,0,0,0
0924,త,0,0,0,0,0,0,0,0
0925,థ,0,0,0,0,1,0,0,0
0926,ద,0,0,0,0,0,0,0,0
0927,ధ,0,0,0,0,0,0,0,0
0928,న,0,0,0,0,0,0,0,0
092A,ప,0,0,0,0,0,0,0,0
092B,ఫ,0,0,0,0,0,0,0,0
092C,బ,0,0,0,0,0,0,0,0
092D,భ,0,0,0,0,0,0,0,0
092E,మ,0,0,0,0,0,0,0,0
092F,య,0,0,0,0,0,0,0,0
0930,ర,0,0,0,0,0,0,0,0
0931,ఱ,0,0,0,0,0,0,0,0
0932,ల,0,0,0,0,0,0,0,0
0933,ళ,0,0,0,0,0,0,0,0
0935,వ,0,0,0,0,0,0,0,0
0936,శ,0,0,0,0,0,0,0,0
0937,ష,0,0,0,0,0,0,0,0
0938,స,0,0,0,0,0,0,0,0
0939,హ,0,0,0,0,0,0,0,0
094D,్,0,0,0,0,0,0,0,0
0905a,అ,0,0,0,0,0,0,0,0
093E, ా,0,1,0,0,0,0,0,0
093F, ి,0,0,0,1,0,0,0,0
0940, ీ,0,1,0,0,0,0,0,0
0941, ు,0,0,1,0,0,0,0,0
0942, ూ,0,0,1,0,0,0,0,0
0943, ృ,0,0,1,0,0,0,0,0
0944, ౄ,0,0,1,0,0,0,0,0
0946, ె,1,0,0,0,0,0,0,0
0947, ే,1,0,0,0,0,0,0,0
0948, ై,1,0,1,0,0,0,0,0
094A, ొ,1,1,0,0,0,0,0,0
094B, ో,1,1,0,0,0,0,0,0
094C, ౌ,1,1,0,0,0,0,0,0
0902,అం,0,0,0,0,0,0,0,0
0903,అః,0,0,0,0,0,0,0,0
0915m,క,0,0,1,0,0,0,1,0
0916m,ఖ,0,0,1,0,0,1,0,0
0917m,గ,0,0,1,0,0,1,0,0
0918m,ఘ,0,0,1,0,0,1,0,0
0919m,ఙ,0,0,1,0,0,1,0,0
091Am,చ,0,0,1,0,0,1,0,0
091Bm,ఛ,0,0,1,0,0,1,0,0
091Cm,జ,0,0,1,0,0,1,0,0
091Dm,ఝ,0,0,1,0,0,1,0,0
091Em,ఞ,0,0,1,0,0,1,0,0
091Fm,ట,0,0,1,0,0,1,0,0
0920m,ఠ,0,0,1,0,1,1,0,0
0921m,డ,0,0,1,0,0,1,0,0
0922m,ఢ,0,0,1,0,0,1,0,0
0923m,ణ,0,0,1,0,0,1,0,0
0924m,త,0,0,1,0,0,0,1,0
0925m,థ,0,0,1,0,1,1,0,0
0926m,ద,0,0,1,0,0,1,0,0
0927m,ధ,0,0,1,0,0,1,0,0
0928m,న,0,0,1,0,0,0,1,0
092Am,ప,0,0,1,0,0,1,0,0
092Bm,ఫ,0,0,1,0,0,1,0,0
092Cm,బ,0,0,1,0,0,1,0,0
092Dm,భ,0,0,1,0,0,1,0,0
092Em,మ,0,0,1,0,0,0,1,0
092Fm,య,0,0,1,0,0,0,1,0
0930m,ర,0,0,1,0,0,0,1,0
0931m,ఱ,0,0,1,0,0,1,0,0
0932m,ల,0,0,1,0,0,0,1,0
0933m,ళ,0,0,1,0,0,1,0,0
0935m,వ,0,0,1,0,0,1,0,0
0936m,శ,0,0,1,0,0,1,0,0
0937m,ష,0,0,1,0,0,1,0,0
0938m,స,0,0,1,0,0,1,0,0
0939m,హ,0,0,1,0,0,1,0,0
