Unicode,Akshara,vivRuta_open,ardhaSamvruta_halfclose,samVruta_close,swasa_unvoiced,mahaPrana_aspirated,anunasika_nasal,sparsa_stops,kanthya_velars,talavya_palatals,murthya_retroflex,dantya_dentals,oshthya_labials,kanthamula_glottals,guruvu_long,additional_complexity
0905,అ,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0906,ఆ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0907,ఇ,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0908,ఈ,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0909,ఉ,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
090A,ఊ,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
090B,ఋ,0,0,1,0,1,0,0,0,0,0,0,1,0,0,100
0960,ౠ,0,0,1,0,1,0,0,0,0,0,0,1,0,1,100
090E,ఎ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
090F,ఏ,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0910,ఐ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0912,ఒ,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0913,ఓ,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0914,ఔ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0915,క,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0916,ఖ,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0917,గ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0918,ఘ,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0919,ఙ,0,0,0,0,1,1,1,1,0,0,0,0,0,0,100
091A,చ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
091B,ఛ,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
091C,జ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
091D,ఝ,0,0,0,0,1,0,1,0,1,0,0,0,0,0,25
091E,ఞ,0,0,0,0,1,1,1,0,1,0,0,0,0,0,100
091F,ట,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0920,ఠ,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0921,డ,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
