Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Constant Modifier,additional_complexity
0C85,ಅ,0,0,0,0,0,0,0,0
0C86,ಆ,0,0,0,0,0,0,0,0
0C87,ಇ,0,0,0,0,0,0,0,0
0C88,ಈ,0,0,0,0,0,0,0,0
0C89,ಉ,0,0,0,0,0,0,0,0
0C8A,ಊ,0,0,0,0,0,0,0,0
0C8B,ಋ,0,0,0,0,0,0,0,0
0CE0,ೠ,0,0,0,0,0,0,0,0
0C8E,ಎ,0,0,0,0,0,0,0,0
0C8F,ಏ,0,0,0,0,0,0,0,0
0C90,ಐ,0,0,0,0,0,0,0,0
0C92,ಒ,0,0,0,0,0,0,0,0
0C93,ಓ,1,0,0,0,0,0,0,0
0C94,ಔ,1,0,0,0,0,0,0,0
0C95,ಕ ,0,0,0,0,0,0,0,0
0C96,ಖ ,0,0,0,0,0,0,0,0
0C97,ಗ ,0,0,0,0,0,0,0,0
0C98,ಘ ,0,1,1,0,1,0,0,0
0C99,ಙ ,1,0,0,0,1,0,0,0
0C9A,ಚ ,0,0,0,0,0,0,0,0
0C9B,ಛ ,0,0,1,0,0,0,0,0
0C9C,ಜ ,1,0,0,0,0,0,0,0
0C9D,ಝ ,0,0,1,0,0,0,0,0
0C9E,ಞ ,0,1,0,,0,0,0,0
0C9F,ಟ ,0,0,0,0,0,0,0,0
0CA0,ಠ,0,0,0,0,1,0,0,0
0CA1,ಡ ,0,0,0,0,0,0,0,0
0CA2,ಢ ,0,0,1,0,0,0,0,0
0CA3,ಣ ,0,0,0,0,0,0,0,0
0CA4,ತ ,0,0,0,0,0,0,0,0
0CA5,ಥ,0,0,1,0,1,0,0,0
0CA6,ದ ,0,0,0,0,0,0,0,0
0CA7,ಧ ,0,0,1,0,0,0,0,0
0CA8,ನ ,0,0,0,0,0,0,0,0
0CAA,ಪ ,0,0,0,0,0,0,0,0
0CAB,ಫ ,0,0,1,0,0,0,0,0
0CAC,ಬ,0,0,0,0,0,0,0,0
0CAD,ಭ ,0,1,1,0,0,0,0,0
0CAE,ಮ ,0,1,0,0,0,0,0,0
0CAF,ಯ ,0,0,0,0,0,0,0,0
0CB0,ರ ,0,0,0,0,0,0,0,0
0CB1,ಱ,0,1,0,0,0,0,0,0
0CB2,ಲ ,0,0,0,0,0,0,0,0
0CB3,ಳ ,0,0,0,0,0,0,0,0
0CB5,ವ,0,0,0,0,0,0,0,0
0CB6,ಶ ,0,0,0,0,0,0,0,0
0CB7,ಷ,0,0,0,0,1,0,0,0
0CB8,ಸ ,0,0,0,0,0,0,0,0
0CB9,ಹ,0,0,0,0,0,0,0,0
0CDE,ೞ,0,0,0,0,0,0,0,0
0CCD,್,0,0,0,0,0,0,0,0
0C85a,ಅ,0,0,0,0,0,0,0,0
0CBE,್,0,0,0,0,0,0,0,0
0CBF,ಾ,1,0,0,0,0,0,0,0
0CC0,ಿ,1,0,0,0,0,0,0,0
0CC1,ೀ,1,1,0,0,0,0,0,0
0CC2,ು,0,1,0,0,0,0,0,0
0CC3,ೂ,0,1,0,0,0,0,0,0
0CC4,ೃ,0,1,1,0,0,0,0,0
0CC6,ೆ,1,0,0,0,0,0,0,0
0CC7,ೇ,1,1,0,0,0,0,0,0
0CC8,ೈ,1,1,1,0,0,0,0,0
0CCA,ೊ,1,1,0,0,0,0,0,0
0CCB,ೋ,1,1,0,0,0,0,0,0
0CCC,ೌ,1,0,0,0,0,0,0,0
0C82,ಂ,0,1,0,0,0,0,0,0
0C83,ಃ,0,1,0,0,0,0,0,0
0C95m,ಕ ,0,0,0,0,0,0,1,0
0C96m,ಖ ,0,0,0,0,0,1,0,0
0C97m,ಗ ,0,0,0,0,0,1,0,0
0C98m,ಘ ,0,1,1,0,1,1,0,0
0C99m,ಙ ,1,0,0,0,1,1,0,0
0C9Am,ಚ ,0,0,0,0,0,1,0,0
0C9Bm,ಛ ,0,0,1,0,0,1,0,0
0C9Cm,ಜ ,1,0,0,0,0,1,0,0
0C9Dm,ಝ ,0,0,1,0,0,1,0,0
0C9Em,ಞ ,0,1,0,,0,1,0,0
0C9Fm,ಟ ,0,0,0,0,0,1,0,0
0CA0m,ಠ,0,0,0,0,1,1,0,0
0CA1m,ಡ ,0,0,0,0,0,1,0,0
0CA2m,ಢ ,0,0,1,0,0,1,0,0
0CA3m,ಣ ,0,0,0,0,0,1,0,0
0CA4m,ತ ,0,0,0,0,0,0,1,0
