KEY,DESCRIPTION,en,ka,hi,te,ta
name,Name of the content,Name
code,Unique code for the content,Code
os,Supported Operating Systems,OS
minOsVersion,E.g. 4.4,Min Supported OS Version
minGenieVersion,E.g. 5.0,Min Supported Genie Version
minSupportedVersion,Minimum Supported Version of this content,Min Supported Version
filter,"E.g.: {""tags"": [""Delhi Curriculum""]}",Filter Criteria (JSON)
visibility,Visibility (set as 'Parent' to hide this from any other list view),Visibility
posterImage,,Poster Image
mimeType,,Mime Type
mediaType,,Media Type
appIcon,,Icon
grayScaleAppIcon,,GrayScale App Icon
thumbnail,,Thumbnail
format,,Format
duration,,Duration
size,,Download File Size (in bytes)
idealScreenSize,,Ideal Screen Size
idealScreenDensity,,Ideal Screen Density (dots per inch)
releaseNotes,,Release Notes
pkgVersion,Version number of the package file,Package Version
resources,,Resources
downloadUrl,URL to download the content,Download Url
artifactUrl,URL to download the content,Artifact Url
objects,,Objects Used in the Content
developer,Content Developer,Developer
source,Source of the content (e.g. MangoSense),Source
publisher,Publisher of the content (e.g. Pratham Books),Publisher
owner,Content Owner,Owner
portalOwner,Portal Owner,Portal Owner
attributions,Attributions/Credits,Owner
collaborators,Collaborators,Collaborators
voiceCredits,Voice Credits,Voice Credits
soundCredits,Audio and background scores by,Audio/Sound Credits
imageCredits,Images created by,Image Credits
copyright,,Copyright
license,,License
language,,Language
words,Dictionary words in this content,Dictionary Words
text,Text of the story,Story Text
forkable,Forkable,Forkable
translatable,Translatable,Translatable
ageGroup,Suggested Age Group,Age Group
gradeLevel,,Grade Level
interactivityLevel,,Interactivity Level
curriculum,,Curriculum
contentType,,Content Type
templateType,,Template Type
genre,,Genre
theme,,Theme
rating,,User Rating
rating_a,,Analytical Rating
quality,,Quality
popularity,,Popularity
downloads,,No of downloads
launchUrl,URL to launch the game,Launch Url
osId,Operating System specific Id,Operating System Id
activity_class,,Activity Class Name
scaffolding,,Scaffolding
feedback,,Feedback
feedbackType,,Feedback
teachingMode,,Teaching Mode
skills,,Skills Required
keywords,,Keywords
domain,,Domain
status,,Status
optStatus,,Optimization Status
description,,Description
body,,Body
editorState,,Editor State
data,,Data
loadingMessage,Loading Message,Loading Message
checksum,Checksum value of the story package file,Checksum
learningObjective,,Learning Objective
createdBy,,Created By
createdOn,,Created On
lastUpdatedBy,,Last Updated By
lastUpdatedOn,,Last Updated On
lastSubmittedBy,,Submitted for Review By
lastSubmittedOn,,Submitted for Review On
lastPublishedBy,,Published By
lastPublishedOn,,Published On
version,,Version
versionDate,,Version Date
versionCreatedBy,,Version Created By
All,,All
Android,,Android
iOS,,iOS
Windows,,Windows
Default,,Default
Parent,,Parent
application/vnd.ekstep.ecml-archive,,application/vnd.ekstep.ecml-archive
application/vnd.ekstep.html-archive,,application/vnd.ekstep.html-archive
application/vnd.android.package-archive,,application/vnd.android.package-archive
application/vnd.ekstep.content-archive,,application/vnd.ekstep.content-archive
application/vnd.ekstep.content-collection,,application/vnd.ekstep.content-collection
application/octet-stream,,application/octet-stream
image/jpeg,,image/jpeg
image/jpg,,image/jpg
image/png,,image/png
image/tiff,,image/tiff
