identifier,objectType,tags,template,copyright,code,downloadUrl,description,language,variants,mimeType,source,posterImage,idealScreenSize,createdOn,appIcon,gradeLevel,artifactUrl,lastUpdatedOn,SYS_INTERNAL_LAST_UPDATED_ON,contentType,owner,lastUpdatedBy,visibility,os,portalOwner,mediaType,osId,ageGroup,lastPublishedBy,pkgVersion,versionKey,prevState,idealScreenDensity,s3Key,lastPublishedOn,size,lastSubmittedOn,createdBy,compatibilityLevel,domain,semanticVersion,name,publisher,status,rel:associatedTo,subject,medium,Language,collaborators,audience,creator,attributions,testCSVImportField,category,origin,languageCode,genre,theme,templateType,templateName,method,createdFor,organization,lastFlaggedOn,flaggedBy,keywords,keywordss,purpose,screenshots
org.ekstep.recordplay,Content,,,,org.ekstep.recordplay,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.recordplay/record-and-play_1490263183273_org.ekstep.recordplay_8.0.ecar,Record and Play,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.recordplay/record-and-play_1490263183561_org.ekstep.recordplay_8.0_spine.ecar"",""size"":20030.0}}",application/vnd.ekstep.plugin-archive,,https://dev1.ekstep.in/assets/public/content/14672718440711467096329587record.png,normal,2017-02-07T00:50:06.932+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.recordplay/artifact/14672718440711467096329587record.thumb.png,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.recordplay/artifact/re_343_1490263079_1490263143651.zip,2017-03-24T07:05:11.876+0000,2017-06-02T14:11:20.329+0000,Plugin,Devendra Singh,343,Default,All,343,content,org.ekstep.quiz.app,5-6,408,8.0,1496412680330,Review,hdpi,ecar_files/org.ekstep.recordplay/record-and-play_1490263183273_org.ekstep.recordplay_8.0.ecar,2017-03-23T09:59:43.273+0000,266680.0,2017-02-09T11:02:57.813+0000,343,1,literacy,1.0,Record and Play Old,,Draft,LO17,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.summarizer,Content,,,,org.ekstep.summarizer,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer/result-summarizer_1496144642079_org.ekstep.summarizer_45.0.ecar,Summarizer,Hindi,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer/result-summarizer_1496144642301_org.ekstep.summarizer_45.0_spine.ecar"",""size"":341092.0}}",application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_11217694289997824015/artifact/7ad1a61189923dd9b2497ff95499fca1_1486443225205.jpeg,normal,2017-05-23T07:28:13.803+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/89c173618416f8561f785bd076d2b73a_1475228619822.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer/artifact/org.ekstep.summarizer-1.0_433_1496144525_1496144584573.zip,2017-05-30T11:43:13.945+0000,2017-06-02T14:11:20.592+0000,Plugin,shirisha,343,Default,All,433,content,org.ekstep.quiz.app,5-6,343,45.0,1496412680592,Review,hdpi,ecar_files/org.ekstep.summarizer/result-summarizer_1496144642079_org.ekstep.summarizer_45.0.ecar,2017-05-30T11:44:02.078+0000,654836.0,2017-02-20T10:01:18.303+0000,433,1,literacy,1.0,Result Summarizer,,Live,LO6,,,Hindi::English,177::480::257::384,Learner,Shirisha Reddy,,,,,,,,,,,,,,,,,,
org.ekstep.summarizer1,Content,,,,org.ekstep.summarizer1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer1/summarizer1_1486444750114_org.ekstep.summarizer1_1.0.ecar,result    analysis1,English,,application/vnd.ekstep.plugin-archive,,https://dev1.ekstep.in/assets/public/content/do_10097622/artifact/e2ea23e33863f9f349e3364a60f1dc03_1483005211447.jpeg,normal,2017-02-07T05:15:34.736+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer1/artifact/e2ea23e33863f9f349e3364a60f1dc03_1483005211447.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer1/artifact/org.ekstep.summarizer-1.0_433_1486444585_1486444652833.zip,2017-03-08T08:33:02.507+0000,2017-06-02T14:11:21.081+0000,Plugin,Shirisha Reddy,433,Default,All,433,content,org.ekstep.quiz.app,5-6,343,1.0,1496412681081,,hdpi,ecar_files/org.ekstep.summarizer1/summarizer1_1486444750114_org.ekstep.summarizer1_1.0.ecar,2017-02-07T05:19:10.341+0000,119680.0,2017-02-07T05:17:48.162+0000,433,1,literacy,1.0,summarizer1,,Draft,LO16,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.summarizer2,Content,,,,org.ekstep.summarizer2,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer2/summarizer2_1486446537227_org.ekstep.summarizer2_1.0.ecar,result      analysis 2,English,,application/vnd.ekstep.plugin-archive,,https://dev1.ekstep.in/assets/public/content/do_10097653/artifact/05872dfa26663324433a612f0a1718d5_1483013991969.jpeg,normal,2017-02-07T05:45:06.032+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer2/artifact/05872dfa26663324433a612f0a1718d5_1483013991969.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer2/artifact/org.ekstep.summarizer2-1.0_433_1486446276_1486446344613.zip,2017-03-08T08:33:03.033+0000,2017-06-02T14:11:21.330+0000,Plugin,Shirisha Reddy,433,Default,All,433,content,org.ekstep.quiz.app,5-6,343,1.0,1496412681330,,hdpi,ecar_files/org.ekstep.summarizer2/summarizer2_1486446537227_org.ekstep.summarizer2_1.0.ecar,2017-02-07T05:48:57.507+0000,217622.0,2017-02-07T05:45:55.964+0000,433,1,science,1.0,summarizer2,,Draft,SC5,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.reviewplg,Content,,,,org.ekstep.reviewplg,,Write a short description of your lesson,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-07T06:42:58.507+0000,,Grade 1,,2017-03-08T08:33:03.376+0000,2017-06-02T14:11:21.581+0000,Plugin,Madhuchandra R,80,Default,All,80,content,org.ekstep.quiz.app,5-6,,,1496412681581,,hdpi,,,,,80,1,numeracy,,Untitled lesson,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.recordplay1,Content,,,,org.ekstep.recordplay1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.recordplay1/test-record-and-play-1_1486451998429_org.ekstep.recordplay1_1.0.ecar,"Test Record and Play 1 ",English,,application/vnd.ekstep.plugin-archive,,https://dev1.ekstep.in/assets/public/content/do_10097653/artifact/05872dfa26663324433a612f0a1718d5_1483013991969.jpeg,normal,2017-02-07T07:16:40.024+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.recordplay1/artifact/05872dfa26663324433a612f0a1718d5_1483013991969.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.recordplay1/artifact/recordplay_343_1486451877_1486451940312.zip,2017-03-08T08:33:04.319+0000,2017-06-02T14:11:21.823+0000,Plugin,Devendra Singh,343,Default,All,343,content,org.ekstep.quiz.app,5-6,408,1.0,1496412681824,,hdpi,ecar_files/org.ekstep.recordplay1/test-record-and-play-1_1486451998429_org.ekstep.recordplay1_1.0.ecar,2017-02-07T07:19:58.725+0000,372197.0,2017-02-07T07:19:19.257+0000,343,1,literacy,1.0,Test Record and Play 1,,Draft,LO16,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.scribblepad,Content,,,,org.ekstep.scribblepad,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.scribblepad/scribblepad_1486639477666_org.ekstep.scribblepad_2.0.ecar,scribblepad,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-08T19:56:00.729+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/60094b47659d9f7c7d7b526136a3866f_1473063659388.png,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.scribblepad/artifact/archive_395_1486639288_1486639355382.zip,2017-03-08T08:33:11.669+0000,2017-06-02T14:11:22.066+0000,Plugin,Chetan Sachdev,432,Default,All,395,content,org.ekstep.quiz.app,5-6,432,2.0,1496412682066,,hdpi,ecar_files/org.ekstep.scribblepad/scribblepad_1486639477666_org.ekstep.scribblepad_2.0.ecar,2017-02-09T11:24:37.858+0000,23232.0,2017-02-09T11:24:19.161+0000,395,1,literacy,1.0,scribblepad,,Draft,LO17,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.summarizer4,Content,,,,org.ekstep.summarizer4,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer4/summarizer4_1486709136423_org.ekstep.summarizer4_8.0.ecar,result   analysis4,English,,application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_10097592/artifact/eafa844b7ec6f616b2a069954359ab52_1482947099429.jpeg,normal,2017-02-09T05:59:30.423+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer4/artifact/eafa844b7ec6f616b2a069954359ab52_1482947099429.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer4/artifact/org.ekstep.summarizer4-1.0_433_1486709018_1486709092250.zip,2017-03-08T08:33:13.090+0000,2017-06-02T14:11:22.575+0000,Plugin,Shirisha Reddy,433,Default,All,433,content,org.ekstep.quiz.app,5-6,343,8.0,1496412682575,,hdpi,ecar_files/org.ekstep.summarizer4/summarizer4_1486709136423_org.ekstep.summarizer4_8.0.ecar,2017-02-10T06:45:36.627+0000,156028.0,2017-02-10T06:45:02.782+0000,433,1,literacy,1.0,summarizer4,,Draft,LO53,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.textpopup,Content,,,,org.ekstep.textpopup,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.textpopup/text-popup_1496379155829_org.ekstep.textpopup_22.0.ecar,Text Popup,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.textpopup/text-popup_1496379155936_org.ekstep.textpopup_22.0_spine.ecar"",""size"":61181.0}}",application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_10097314/artifact/simley_images_1481890952535.jpeg,normal,2017-06-02T04:52:09.585+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.textpopup/artifact/simley_images_1481890952535.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.textpopup/artifact/org.ekstep.textpopup-1.0_433_1496379067_1496379129726.zip,2017-06-02T04:52:19.297+0000,2017-06-02T14:11:22.816+0000,Plugin,Devendra Singh,408,Default,All,343,content,org.ekstep.quiz.app,5-6,408,22.0,1496412682816,Review,hdpi,ecar_files/org.ekstep.textpopup/text-popup_1496379155829_org.ekstep.textpopup_22.0.ecar,2017-06-02T04:52:35.829+0000,91095.0,2017-03-02T11:53:34.816+0000,343,1,literacy,1.0,Text Popup,,Live,LO14,,,,200::466::433,Learner,Devendra Singh,,,,,,,,,,,,,,,,,,
org.ekstep.summarizer.plus,Content,,,,org.ekstep.summarizer.plus,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer.plus/sher-kaa-saathii-haathii_1486625256133_org.ekstep.summarizer.plus_1.0.ecar,Simmarizer Plugin,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-09T07:26:11.984+0000,,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer.plus/artifact/orgekstep.summarizer.plus_1486625242282.zip,2017-03-08T08:33:14.170+0000,2017-06-02T14:11:23.334+0000,Plugin,EkStep,,Default,All,,content,org.ekstep.quiz.app,5-6,,1.0,1496412683334,,hdpi,ecar_files/org.ekstep.summarizer.plus/sher-kaa-saathii-haathii_1486625256133_org.ekstep.summarizer.plus_1.0.ecar,2017-02-09T07:27:36.259+0000,93813.0,,,1,,1.0,शेर का साथी हाथी,,Live,,literacy,,,,,,,,,,,,,,,,,,,,,,,
