identifier,objectType,createdBy,consumerId,audience,copyType,versionKey
numeracy_369,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
numeracy_363,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.num.scrn.basic,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.takeoff,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
numeracy_370,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.treefrogtreasure,Content,129,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.aser,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.teacher.pp,Content,,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.gameobservations.pp,Content,,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.lit.scrnr.kan.basic,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30017189,Content,200,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30020228,Content,384,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.pratham,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30070784,Content,329,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30078157,Content,435,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
org.ekstep.delta,Content,EkStep,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30078663,Content,455,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30082585,Content,435,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30083930,Content,215,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30083985,Content,215,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
