Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,answer 1 value,answer 1 score,answer 2 value,answer 2 score,answer 3 value,answer 3 score,answer 4 value,answer 4 score,,Parameter 1 type,Parameter 1 asset,Parameter 1 count,Parameter 2 type,Parameter 2 asset,Parameter 2 count,Parameter 3 type,Parameter 3 asset,Parameter 3 count,Parameter 4 type,Parameter 4 asset,Parameter 4 count,,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_sub_q1000,Subtraction,31-13,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1001,Subtraction,31-18,1,1,No,,2,,13,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1002,Subtraction,32-17,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1003,Subtraction,34-19,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1004,Subtraction,41-13,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1005,Subtraction,41-15,1,1,No,,2,,26,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1006,Subtraction,43-29,1,1,No,,2,,14,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1007,Subtraction,45-17,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1008,Subtraction,45-18,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1009,Subtraction,45-27,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1010,Subtraction,46-17,1,1,No,,2,,29,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1011,Subtraction,46-29,1,1,No,,2,,17,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1012,Subtraction,47-28,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1013,Subtraction,47-29,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1014,Subtraction,51-35,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1015,Subtraction,52-14,1,1,No,,2,,38,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1016,Subtraction,53-24,1,1,No,,2,,29,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1017,Subtraction,56-37,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1018,Subtraction,63-27,1,1,No,,2,,36,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1019,Subtraction,63-39,1,1,No,,2,,24,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1020,Subtraction,63-44,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1021,Subtraction,64-48,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1022,Subtraction,66-48,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1023,Subtraction,68-49,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1024,Subtraction,71-35,1,1,No,,2,,36,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1025,Subtraction,73-36,1,1,No,,2,,37,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1026,Subtraction,74-57,1,1,No,,2,,17,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1027,Subtraction,84-35,1,1,No,,2,,49,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1028,Subtraction,84-49,1,1,No,,2,,35,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1029,Subtraction,84-57,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1030,Subtraction,92-48,1,1,No,,2,,44,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1031,Subtraction,92-76,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1032,Subtraction,३१-१३,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1033,Subtraction,३१–१३,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1034,Subtraction,३२-१७,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1035,Subtraction,३२–१७,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1036,Subtraction,३४-१८,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1037,Subtraction,३४–१८,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1038,Subtraction,३५-१७,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1039,Subtraction,३५–१७,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1040,Subtraction,३६-१८,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1041,Subtraction,३६–१८,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1042,Subtraction,४१-१३,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1043,Subtraction,४१-१५,1,1,No,,2,,26,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1044,Subtraction,४१–१३,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1045,Subtraction,४१–१५,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1046,Subtraction,४३-२४,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1047,Subtraction,४३-२९,1,1,No,,2,,14,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1048,Subtraction,४३–२४,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1049,Subtraction,४३–२९,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1050,Subtraction,४५-१८,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1051,Subtraction,४५-२६,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1052,Subtraction,४५–१८,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1053,Subtraction,४५–२६,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
