Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,Options 1 type,Options 1 asset,Options 1 score,Options 2 type,Options 2 asset,Options 2 score,Options 3 type,Options 3 asset,Options 3 score,Options 4 type,Options 4 asset,Options 4 score,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_1_s_English,Read the story,"Rani is a little girl. Her
mother gave her a book. It
had lots of stories. It also had
many pictures. Rani read it
every morning on her way
to school. She learned many
new words. That made her
teacher very happy",42,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_English,Read the story,"It was the rainy season. The
sky was full of clouds. Asif
wanted to play. His brother
got a thick rope. They tied
it on the tree to make a
swing. Many childen joined
them. They played till it got
dark.",41,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_English,Read the story,"Salma is a little girl. She
had a pretty doll. One
day the doll fell from her
hand to the floor. It broke
into many pieces. Salma
was very sad. Her mother
gave her another doll.
Now she is happy again",41,1/0,No,No,2,,image,square.png,1,image,circle.png,1,image,triangle.png,1,image,diamond.png,1,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_English,Read the story,"Amit got a new cycle. It had
two big wheels and a bell.
One day he fell down while
riding the cycle. One wheel
of the cycle broke. Amit was
very sad. He went back
home. His father fixed the
cycle soon",42,1/0,No,No,2,,audio,lion.mp3,1,audio,cat.mp3,1,audio,horse.mp3,1,audio,cow.mp3,1,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_hindi,Read the story,"सावन का महीना था | आसमान में काले-काले बादल छाए थे | ठंडी हवा चल रही थी | मुझे झुला झूलने का मन किया | बड़े भैया एक मोटी सी रस्सी लेकर आए | भैया ने रस्सी को पेड़ से लटकाकर झुला बनाया | सब ने मिलकर झूला झूला | 

",44,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_hindi,Read the story,नगमा समझदार लड़की थी | मगर उसका भाई अमन बहुत नटखट था | एक दिन दोनों बाज़ार में घूम रहे थे | अमन ने रास्ते में पकौड़े देखे | नगमा ने कहा पकौड़े तीखे होंगे | मगर अमन नहीं माना | पकौड़े खाकर उसकी आँखों से आँसू निकलने लगे |,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_hindi,Read the story,रामपुर में एक मैदान था | वहाँ  कोई नहीं खेलता था | एक दिन कुछ लोग आए | सबने मिलकर सोचा की यहाँ बग़ीचा बनाया जाए | खाद मंगाकर तरह-तरह के पौधे लगाए गए | आज वहाँ एक सुंदर बग़ीचा है | अब वहाँ सभी खेलने जाते हैं |,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_hindi,Read the story,दूर एक गाँव था | वहाँ राजू नाम का लड़का रहता था | उसकी बहन और भाई भी साथ रहते थे | उसका भाई विद्यालय में पढ़ता था | उसकी बहन बहुत तेज़ दौड़ती थी | उसे लंबी दौड़ लगाना अच्छा लगता था | वे तीनों रोज़ मौज-मस्ती करते थे |,45,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_marathi,Read the story,,40,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_marathi,Read the story,,41,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_marathi,Read the story,,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_marathi,Read the story,,47,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_kannada,Read the story,"ಆಮೆ ಮತ್ತು ಮೊಲ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತರಾಗಿದ್ದರು. ಒಂದು ದಿನ ಆಮೆ ಮತ್ತು
ಮೊಲ ಸ್ಪರ್ಧೆ ಏರ್ಪಾಟು ಮಾಡಿಕೊಂಡವು. ಯಾರು ಮೊದಲು ಪಕ್ಕದ ಊರನ್ನು ತಲುಪುವರೋ  ಅವರಿಗೆ ಬಹುಮಾನ ಎಂದು ಘೋಷಿಸಿದವು. ಮೊಲ ಓಡುತ್ತಾ
ಮುಂದೆ ಸಾಗಿತು. ಅರ್ಧ ದಾರಿ ಸಾಗಿದ ಮೇಲೆ ಮೊಲ ವಿಶ್ರಾಂತಿ ಪಡೆಯಲು ಬಯಸಿತು. ಅಲ್ಲೇ ಮರದ ಕೆಳಗೆ
ನಿದ್ರೆ ಮಾಡಿತು. ಅಷ್ಟರಲ್ಲೇ ಆಮೆ ಬೇಗನೇ ಊರನ್ನು ತಲುಪಿ ಸ್ಪರ್ಧೆಯಲ್ಲಿ  ಜಯಿಸಿತು",45,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_kannada,Read the story,"ವಿಮಲ ಕರಿಯನ ತಂಗಿ. ವಿಮಲೆಗೆ ಕುದುರೆ ಹಾಗು ಕರಿಯನಿಗೆ ಕೋತಿ ಕಂಡರೆ
ಒಲವು. ವಿಮಲ ಮತ್ತು ಕರಿಯ ನೀರು ತರಲು ಕುದುರೆ ಮತ್ತು ಕೋತಿಯ ಜೊತೆಗೆ ನೀರಿನ ಕೊಳಕ್ಕೆ ಹೋದರು.
ಕೊಳದಿಂದ ನೀರನ್ನು ತಂದು ಕೈಕಾಲು ಮುಖ ತೊಳೆದರು. ಕೋತಿ ಸಂತೋಷದಿಂದ ಲಾಗ ಹಾಕಿ ಕುಣಿಯಿತು.
ಕುದುರೆ ಆನಂದದಿಂದ ಕೆನೆಯಿತು.ತಾಯಿ ಇಬ್ಬರಿಗೂ ಹಾಲು ಕುಡಿಯಲು ನೀಡಿದಳು.ನಂತರ ಇಬ್ಬರೂ ಆಟ ಆಡಲು
ಹೊರಗೆ ಹೋದರು",47,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
