Code,Title,,,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer
Unique code for the question,Title for the assessment item,Question Body,,,,,,How many answers are there?,How many marks can be allotted?,Partial scoring is allowed?,Feedback to show if the item is answered incorrectly,Grade Grade,How difficult is the question?,,,,,,,,,
ek.n.ib.a.ssnc.bp1.1,जोड़,7 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",8,Yes,7,No,1,No,4,No
ek.n.ib.a.ssnc.bp1.2,जोड़,1 + 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",5,Yes,1,No,4,No,6,No
ek.n.ib.a.ssnc.bp1.3,जोड़,5 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",6,Yes,5,No,1,No,7,No
ek.n.ib.a.ssnc.bp1.4,जोड़,1 + 8 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",9,Yes,1,No,8,No,3,No
ek.n.ib.a.ssnc.bp1.5,जोड़,3 + 5 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",8,Yes,3,No,5,No,2,No
ek.n.ib.a.ssnc.bp2.1,जोड़,2 + 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",1,No,6,Yes,2,No,4,No
ek.n.ib.a.ssnc.bp2.2,जोड़,4 + 3 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",6,No,7,Yes,4,No,3,No
ek.n.ib.a.ssnc.bp2.3,जोड़,1 + 5 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",9,No,6,Yes,1,No,5,No
ek.n.ib.a.ssnc.bp2.4,जोड़,1 + 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",8,No,5,Yes,1,No,4,No
ek.n.ib.a.ssnc.bp2.5,जोड़,8 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",4,No,9,Yes,8,No,1,No
ek.n.ib.a.ssnc.bp3.1,जोड़,7 + 2 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",2,No,6,No,9,Yes,7,No
ek.n.ib.a.ssnc.bp3.2,जोड़,8 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",1,No,3,No,9,Yes,8,No
ek.n.ib.a.ssnc.bp3.3,जोड़,5 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",1,No,3,No,6,Yes,5,No
ek.n.ib.a.ssnc.bp3.4,जोड़,5 + 3 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",3,No,2,No,8,Yes,5,No
ek.n.ib.a.ssnc.bp3.5,जोड़,7 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",1,No,9,No,8,Yes,7,No
ek.n.ib.a.ssnc.bp4.1,जोड़,4 + 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",4,No,3,No,5,No,8,Yes
ek.n.ib.a.ssnc.bp4.2,जोड़,1 + 3 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",1,No,3,No,8,No,4,Yes
ek.n.ib.a.ssnc.bp4.3,जोड़,4 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",4,No,1,No,8,No,5,Yes
ek.n.ib.a.ssnc.bp4.4,जोड़,3 + 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",3,No,4,No,6,No,7,Yes
ek.n.ib.a.ssnc.bp4.5,जोड़,3 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"addition, add, sum",3,No,1,No,6,No,4,Yes
ek.n.ib.a.ssc.bp1.1,जोड़,8 + 8 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",16,Yes,8,No,10,No,14,No
ek.n.ib.a.ssc.bp1.2,जोड़,7 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",13,Yes,7,No,6,No,10,No
ek.n.ib.a.ssc.bp1.3,जोड़,6 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",13,Yes,6,No,7,No,14,No
ek.n.ib.a.ssc.bp1.4,जोड़,6 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",13,Yes,6,No,7,No,11,No
ek.n.ib.a.ssc.bp1.5,जोड़,9 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",15,Yes,9,No,6,No,16,No
ek.n.ib.a.ssc.bp2.1,जोड़,6 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",15,No,13,Yes,6,No,7,No
ek.n.ib.a.ssc.bp2.2,जोड़,6 + 8 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",16,No,14,Yes,6,No,8,No
ek.n.ib.a.ssc.bp2.3,जोड़,8 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",11,No,14,Yes,8,No,6,No
ek.n.ib.a.ssc.bp2.4,जोड़,6 + 5 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",16,No,11,Yes,6,No,5,No
ek.n.ib.a.ssc.bp2.5,जोड़,9 + 5 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",11,No,14,Yes,9,No,5,No
ek.n.ib.a.ssc.bp3.1,जोड़,6 + 8 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",8,No,15,No,14,Yes,6,No
ek.n.ib.a.ssc.bp3.2,जोड़,6 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",15,No,10,No,12,Yes,6,No
ek.n.ib.a.ssc.bp3.3,जोड़,8 + 8 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",14,No,11,No,16,Yes,8,No
ek.n.ib.a.ssc.bp3.4,जोड़,9 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",6,No,12,No,15,Yes,9,No
ek.n.ib.a.ssc.bp3.5,जोड़,8 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",7,No,12,No,15,Yes,8,No
ek.n.ib.a.ssc.bp4.1,जोड़,5 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",5,No,7,No,16,No,12,Yes
ek.n.ib.a.ssc.bp4.2,जोड़,6 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",6,No,15,No,11,No,12,Yes
ek.n.ib.a.ssc.bp4.3,जोड़,8 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",8,No,7,No,13,No,15,Yes
ek.n.ib.a.ssc.bp4.4,जोड़,5 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",5,No,9,No,12,No,14,Yes
ek.n.ib.a.ssc.bp4.5,जोड़,8 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",8,No,9,No,14,No,17,Yes
ek.n.ib.a.dsnc.bp1.1,जोड़,23 + 5 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",28,Yes,18,No,73,No,31,No
ek.n.ib.a.dsnc.bp1.2,जोड़,52 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",53,Yes,51,No,62,No,93,No
ek.n.ib.a.dsnc.bp1.3,जोड़,78 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",79,Yes,77,No,88,No,78,No
ek.n.ib.a.dsnc.bp1.4,जोड़,86 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",87,Yes,85,No,96,No,99,No
ek.n.ib.a.dsnc.bp1.5,जोड़,46 + 2 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",48,Yes,44,No,66,No,26,No
ek.n.ib.a.dsnc.bp2.1,जोड़,71 + 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",70,No,75,Yes,67,No,111,No
ek.n.ib.a.dsnc.bp2.2,जोड़,32 + 2 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",55,No,34,Yes,30,No,52,No
ek.n.ib.a.dsnc.bp2.3,जोड़,98 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",10,No,99,Yes,97,No,108,No
ek.n.ib.a.dsnc.bp2.4,जोड़,28 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",23,No,29,Yes,27,No,38,No
ek.n.ib.a.dsnc.bp2.5,जोड़,16 + 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,MEDIUM,"addition, add, sum",95,No,17,Yes,15,No,26,No
ek.n.ib.a.dsc.bp3.1,जोड़,89 + 2 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",109,No,811,No,91,Yes,87,No
ek.n.ib.a.dsc.bp3.2,जोड़,24 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",114,No,213,No,33,Yes,15,No
