Code (Dimensions),Dimensions,Code (Micro-concept),Microconcept,Value
LD1,Vocabulary,LO1,Receptive Vocabulary,LO1 - Vocabulary - Receptive Vocabulary
LD1,Vocabulary,LO31,Expressive Vocabulary,LO31 - Vocabulary - Expressive Vocabulary
LD1,Vocabulary,LO2,Accurate word for context 1,LO2 - Vocabulary - Accurate word for context 1
LD1,Vocabulary,LO32,More than one meaning,LO32 - Vocabulary - More than one meaning
LD1,Vocabulary,LO33,Roots and derivations,LO33 - Vocabulary - Roots and derivations
LD1,Vocabulary,LO34,Synonyms & antonyms,LO34 - Vocabulary - Synonyms & antonyms
LD2,Listening Comprehension,LO3.1,Sentence Comprehension 1,LO3.1 - Listening Comprehension - Sentence Comprehension 1
LD2,Listening Comprehension,LO4.1,Accurate structure for context,LO4.1 - Listening Comprehension - Accurate structure for context
LD2,Listening Comprehension,LO10.1,Comprehension of brief passage 1,LO10.1 - Listening Comprehension - Comprehension of brief passage 1
LD2,Listening Comprehension,LO42.1,Comprehension of poems 1,LO42.1 - Listening Comprehension - Comprehension of poems 1
LD2,Listening Comprehension,LO43.1,Comprehension of stories 1,LO43.1 - Listening Comprehension - Comprehension of stories 1
LD2,Listening Comprehension,LO44.1,Comprehension of essays 1,LO44.1 - Listening Comprehension - Comprehension of essays 1
LD2,Listening Comprehension,LO45.1,Figurative language 1,LO45.1 - Listening Comprehension - Figurative language 1
LD2,Listening Comprehension,LO46.1,Inference about implied ideas 1,LO46.1 - Listening Comprehension - Inference about implied ideas 1
LD2,Listening Comprehension,LO47.1,Inference by making associations 1,LO47.1 - Listening Comprehension - Inference by making associations 1
LD2,Listening Comprehension,LO48.1,Inference using context 1,LO48.1 - Listening Comprehension - Inference using context 1
LD10,Phonological awareness,LO24,Memory for sound strings,LO24 - Phonological awareness - Memory for sound strings
LD10,Phonological awareness,LO25,Onset-Coda awareness,LO25 - Phonological awareness - Onset-Coda awareness
LD10,Phonological awareness,LO37,Onset-Coda play,LO37 - Phonological awareness - Onset-Coda play
LD10,Phonological awareness,LO38,Syllable awareness,LO38 - Phonological awareness - Syllable awareness
LD10,Phonological awareness,LO39,Syllable play,LO39 - Phonological awareness - Syllable play
LD10,Phonological awareness,LO40,Phoneme awareness,LO40 - Phonological awareness - Phoneme awareness
LD10,Phonological awareness,LO41,Phoneme play,LO41 - Phonological awareness - Phoneme play
LD3,Akshara Knowledge,LO26,Pattern recognition,LO26 - Akshara Knowledge - Pattern recognition
LD3,Akshara Knowledge,LO27,Akshara recognition,LO27 - Akshara Knowledge - Akshara recognition
LD3,Akshara Knowledge,LO28,Tracing Patterns,LO28 - Akshara Knowledge - Tracing Patterns
LD3,Akshara Knowledge,LO29,Tracing Akshara,LO29 - Akshara Knowledge - Tracing Akshara
LD3,Akshara Knowledge,LO5,Sound to Symbol Mapping,LO5 - Akshara Knowledge - Sound to Symbol Mapping
LD3,Akshara Knowledge,LO35,Symbol to Sound Mapping,LO35 - Akshara Knowledge - Symbol to Sound Mapping
LD4,Decoding & Fluency,LO30,Concepts about Print,LO30 - Decoding & Fluency - Concepts about Print
LD4,Decoding & Fluency,LO36,Recognising Sight Words,LO36 - Decoding & Fluency - Recognising Sight Words
LD4,Decoding & Fluency,LO7,Reading Regular Words,LO7 - Decoding & Fluency - Reading Regular Words
LD4,Decoding & Fluency,LO52,Reading Exception Words,LO52 - Decoding & Fluency - Reading Exception Words
LD4,Decoding & Fluency,LO6,Spelling Regular Words,LO6 - Decoding & Fluency - Spelling Regular Words
LD4,Decoding & Fluency,LO51,Spelling Exception Words,LO51 - Decoding & Fluency - Spelling Exception Words
LD4,Decoding & Fluency,LO49,Speed and Accuracy in list reading,LO49 - Decoding & Fluency - Speed and Accuracy in list reading
LD4,Decoding & Fluency,LO50,Speed and Accuracy in text reading,LO50 - Decoding & Fluency - Speed and Accuracy in text reading
LD5,Reading Comprehension,LO3.2,Sentence Comprehension 2,LO3.2 - Reading Comprehension - Sentence Comprehension 2
LD5,Reading Comprehension,LO4.2,Accurate structure of context 2,LO4.2 - Reading Comprehension - Accurate structure of context 2
LD5,Reading Comprehension,LO10.2,Comprehension of brief passage 2,LO10.2 - Reading Comprehension - Comprehension of brief passage 2
LD5,Reading Comprehension,LO42.2,Comprehension of poems 2,LO42.2 - Reading Comprehension - Comprehension of poems 2
LD5,Reading Comprehension,LO43.2,Comprehension of stories 2,LO43.2 - Reading Comprehension - Comprehension of stories 2
LD5,Reading Comprehension,LO44.2,Comprehension of essays 2,LO44.2 - Reading Comprehension - Comprehension of essays 2
LD5,Reading Comprehension,LO45.2,Figurative language 2,LO45.2 - Reading Comprehension - Figurative language 2
LD5,Reading Comprehension,LO46.2,Inference about implied ideas 2,LO46.2 - Reading Comprehension - Inference about implied ideas 2
LD5,Reading Comprehension,LO47.2,Inference by making associations 2,LO47.2 - Reading Comprehension - Inference by making associations 2
LD5,Reading Comprehension,LO48.2,Inference using context 2,LO48.2 - Reading Comprehension - Inference using context 2
