Code,Concepts,Title,Question,Question Image,Question Audio,Image Count,Domain,Language,Grade Level,Difficulty Level,Keywords,Option 1 Text,Option 1 Image,Option 1 Answer,Option 2 Text,Option 2 Image,Option 2 Answer,Option 3 Text,Option 3 Image,Option 3 Answer,Option 4 Text,Option 4 Image,Option 4 Answer,Template Name,Template ID,Param 1,Param 2
Unique code for the question,Concepts related to this question. (Comma separated if more than one),Title for the assessment item,Question Body,Image used in the question body (if any),Audio asset used in the question body (if any),"For numeracy questions, repeat the body image how many times?",Domain,Language,Grade level,"How difficult is the question? (EASY, MEDIUM, DIFFICULT, RARE)",Search keywords for this question,"Text - Text of the option\n Image - Image to use in option\n Answer - Yes or No if the option is correct or incorrect",,,,,,,,,,,,Name of the template to use with this question,ID of the template to use with this question,Parameter 1 for templates to use,Parameter 2 for templates to use
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7a + 1a = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,7,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7b + 1b = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,0,,No,0,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.4,,जोड,7b + 1b = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",0,,Yes,0,,No,0,,No,0,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.2,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.3,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.4,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.5,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.6,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.7,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.8,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.9,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.10,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.11,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.12,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.13,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.14,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.15,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.16,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.17,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.18,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.19,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.20,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.21,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.22,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.23,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.24,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.25,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.26,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.27,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.28,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.29,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.30,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
ek.n.ib.a.ssnc.bp1.1,,जोड,7 + 1 = ?,qimg,qaud,5,Numeracy,Hindi,Grade 1,EASY,"addition, add, sum",8,,Yes,7,,No,1,,No,4,,No,org.ekstep.mcq.t.ta,domain_3490,7,1
