Code,Title,,Leave these 3 columns blank,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer,,,,,,
Unique code for the question,Title for the assessment item,Question Body,Question Image,Question Audio,Question Repeat,,,How many answers are there?,How many marks can be allotted?,Partial scoring is allowed?,Feedback to show if the item is answered incorrectly,Grade Grade,How difficult is the question?,,,,,,,,,,,,,,,
ek.n.ib.m.t.2.4,Pick the correct answer,2 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,6,No,10,No,4,No,2,2,4,4,2,6
ek.n.ib.m.t.2.5,Pick the correct answer,2 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,No,10,Yes,7,No,12,No,2,1,4,3,2,5
ek.n.ib.m.t.2.2,Pick the correct answer,2 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",6,No,2,No,4,Yes,8,No,4,2,2,2,6,4
ek.n.ib.m.t.2.7,Pick the correct answer,2 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,16,No,12,No,14,Yes,7,3,5,4,2,2
ek.n.ib.m.t.2.9,Pick the correct answer,2 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,Yes,11,No,20,No,16,No,7,2,2,9,5,4
ek.n.ib.m.t.2.8,Pick the correct answer,2 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,16,Yes,10,No,18,No,2,4,4,6,2,8
ek.n.ib.m.t.2.1,Pick the correct answer,2 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",4,No,1,No,2,Yes,3,No,3,2,1,1,2,1
ek.n.ib.m.t.2.6,Pick the correct answer,2 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,No,14,No,10,No,12,Yes,6,2,4,4,2,2
ek.n.ib.m.t.2.3,Pick the correct answer,2 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",6,Yes,5,No,8,No,4,No,1,2,2,3,1,4
ek.n.ib.m.t.2.10,Pick the correct answer,2 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,20,Yes,12,No,22,No,2,6,4,8,2,10
ek.n.ib.m.t.3.7,Pick the correct answer,3 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,Yes,10,No,24,No,18,No,11,3,3,14,8,6
ek.n.ib.m.t.3.4,Pick the correct answer,3 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,12,Yes,7,No,15,No,3,2,6,5,3,8
ek.n.ib.m.t.3.3,Pick the correct answer,3 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,6,No,9,Yes,3,No,6,3,9,3,3,6
ek.n.ib.m.t.3.5,Pick the correct answer,3 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,No,18,No,12,No,15,Yes,10,4,7,6,3,3
ek.n.ib.m.t.3.9,Pick the correct answer,3 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",27,Yes,12,No,30,No,24,No,15,3,3,18,12,6
ek.n.ib.m.t.3.1,Pick the correct answer,3 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,3,Yes,4,No,6,No,2,3,5,1,3,2
ek.n.ib.m.t.3.2,Pick the correct answer,3 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,3,No,6,Yes,5,No,6,3,4,3,2,1
ek.n.ib.m.t.3.8,Pick the correct answer,3 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,27,No,21,No,24,Yes,16,10,13,6,3,3
ek.n.ib.m.t.3.10,Pick the correct answer,3 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,Yes,13,No,33,No,27,No,17,3,3,20,14,6
ek.n.ib.m.t.3.6,Pick the correct answer,3 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",15,No,18,Yes,9,No,21,No,3,6,6,9,3,12
ek.n.ib.m.t.4.2,Pick the correct answer,4 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,6,No,12,No,4,No,2,4,4,6,2,8
ek.n.ib.m.t.4.4,Pick the correct answer,4 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,16,Yes,8,No,20,No,4,4,8,8,4,12
ek.n.ib.m.t.4.6,Pick the correct answer,4 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,20,No,24,Yes,10,No,8,4,18,4,10,14
ek.n.ib.m.t.4.8,Pick the correct answer,4 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,36,No,28,No,32,Yes,24,16,20,8,4,4
ek.n.ib.m.t.4.10,Pick the correct answer,4 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,Yes,14,No,44,No,36,No,26,4,4,30,22,8
ek.n.ib.m.t.4.1,Pick the correct answer,4 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,4,Yes,5,No,8,No,3,4,7,1,4,3
ek.n.ib.m.t.4.5,Pick the correct answer,4 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,No,16,No,20,Yes,9,No,8,4,15,4,7,11
ek.n.ib.m.t.4.3,Pick the correct answer,4 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",7,No,16,No,8,No,12,Yes,9,1,5,8,4,4
ek.n.ib.m.t.4.7,Pick the correct answer,4 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,Yes,11,No,32,No,24,No,17,4,4,21,13,8
ek.n.ib.m.t.4.9,Pick the correct answer,4 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,No,36,Yes,13,No,40,No,4,19,8,23,4,27
ek.n.ib.m.t.5.1,Pick the correct answer,5 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",5,Yes,6,No,10,No,1,No,1,5,4,4,5,9
ek.n.ib.m.t.5.3,Pick the correct answer,5 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,15,Yes,8,No,20,No,5,2,10,7,5,12
ek.n.ib.m.t.5.5,Pick the correct answer,5 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,No,20,No,25,Yes,10,No,10,5,20,5,10,15
ek.n.ib.m.t.5.7,Pick the correct answer,5 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,40,No,30,No,35,Yes,28,18,23,10,5,5
ek.n.ib.m.t.5.10,Pick the correct answer,5 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,Yes,15,No,55,No,45,No,35,5,5,40,30,10
