Code,Concepts,Title,Question,Question Image,Question Audio,Image Count,Domain,Language,Grade Level,Difficulty Level,Keywords,Option 1 Text,Option 1 Image,Option 1 Answer,Option 2 Text,Option 2 Image,Option 2 Answer,Option 3 Text,Option 3 Image,Option 3 Answer,Option 4 Text,Option 4 Image,Option 4 Answer,Template Name,Template ID,Options Shuffle,Param 1,Param 2
Unique code for the question,Concepts related to this question (comma separate if more than one),Title for the assessment item,Question Body,Image used in the question body (if any),Audio asset used in the question body (if any),"For numeracy questions, repeat the body image how many times?",Literacy or Numeracy,"Language for the item (Hindi, English, Kannada, Telugu)",Grade level,"How difficult is the question? 
 (EASY, MEDIUM, DIFFICULT, RARE)",Search keywords for this question,"Text - Text of the option
 Image - Image to use in option
 Answer - Yes or No if the option is correct or incorrect",,,,,,,,,,,,Name of the template to use with this question,ID of the template to use with this question,"Yes = shuffle options, No = do not shuffle options",Parameter 1 for templates to use,Parameter 2 for templates to use
pr.hin.mul.a1,C275,गुणा कीजिए,224 X 2 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",448,,Yes,248,,No,981,,No,648,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a2,C275,गुणा कीजिए,327 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",981,,Yes,918,,No,891,,No,2196,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a3,C275,गुणा कीजिए,524 X 4 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",2096,,Yes,372,,No,2086,,No,2196,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a4,C275,गुणा कीजिए,124 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",372,,Yes,472,,No,382,,No,362,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a5,C275,गुणा कीजिए,127 X 6 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",762,,Yes,672,,No,1045,,No,752,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a6,C275,गुणा कीजिए,209 X 5 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1045,,Yes,1055,,No,1645,,No,1035,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a7,C275,गुणा कीजिए,235 X 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1645,,Yes,1701,,No,1545,,No,1635,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a8,C275,गुणा कीजिए,189 X 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1701,,Yes,1781,,No,896,,No,1601,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a9,C275,गुणा कीजिए,987 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",2961,,Yes,2801,,No,868,,No,2691,,No,org.ekstep.mcq.t.ta,domain_3490,,,
